Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Sector,Daily Return,Cumulative Return,MA50,MA200,Change %,Country
9/18/2023,176.4799957,179.3800049,176.1699982,177.9700012,176.2437134,67257600,AAPL,Technology,0.016913506,1.429656842,182.5545535,162.9680806,,
9/19/2023,177.5200043,179.6300049,177.1300049,179.0700073,177.3330536,51826900,AAPL,Technology,0.006180874,1.444674245,182.3706424,163.1248891,,
9/20/2023,179.2599945,179.6999969,175.3999939,175.4900055,173.7877808,58436200,AAPL,Technology,-0.019992172,1.395799898,182.1263092,163.2625908,,
9/21/2023,174.5500031,176.3000031,173.8600006,173.9299927,172.2428894,63149100,AAPL,Technology,-0.008889528,1.374502367,181.8176505,163.3950333,,
9/22/2023,174.6699982,177.0800018,174.0500031,174.7899933,173.0945587,56725400,AAPL,Technology,0.004944583,1.386243292,181.510795,163.5375521,,
9/25/2023,174.1999969,176.9700012,174.1499939,176.0800018,174.3720398,46172700,AAPL,Technology,0.00738025,1.403854364,181.2265228,163.7047995,,
9/26/2023,174.8200073,175.1999969,171.6600037,171.9600067,170.2920227,64588900,AAPL,Technology,-0.023398345,1.347608151,180.7953784,163.8613599,,
9/27/2023,172.6199951,173.0399933,169.0500031,170.4299927,168.7768402,66921800,AAPL,Technology,-0.008897554,1.32672018,180.3390729,164.0019133,,
9/28/2023,169.3399963,172.0299988,167.6199951,170.6900024,169.0343018,56294400,AAPL,Technology,0.001525455,1.330269488,179.8608188,164.14617,,
9/29/2023,172.0200043,173.0700073,170.3399963,171.2100067,169.5492859,51861100,AAPL,Technology,0.003046625,1.337368945,179.4318295,164.2815134,,
10/2/2023,171.2200012,174.3000031,170.9299927,173.75,172.0646362,52164500,AAPL,Technology,0.014835511,1.372045009,179.0766843,164.4246018,,
10/3/2023,172.2599945,173.6300049,170.8200073,172.3999939,170.7277222,49594600,AAPL,Technology,-0.007769836,1.353614607,178.6787805,164.5721486,,
10/4/2023,171.0899963,174.2100067,170.9700012,173.6600037,171.9754944,53020300,AAPL,Technology,0.007308551,1.370816119,178.2886234,164.7590176,,
10/5/2023,173.7899933,175.4499969,172.6799927,174.9100037,173.2133942,48527900,AAPL,Technology,0.007198117,1.387881531,177.9058191,164.9618878,,
10/6/2023,173.8000031,177.9900055,173.1799927,177.4900055,175.7683716,57266700,AAPL,Technology,0.014750461,1.423103885,177.5994315,165.1880842,,
10/9/2023,176.8099976,179.0500031,175.8000031,178.9900055,177.2538452,42390800,AAPL,Technology,0.008451314,1.443582296,177.2711295,165.4220529,,
10/10/2023,178.1000061,179.7200012,177.9499969,178.3899994,176.6596375,43698000,AAPL,Technology,-0.003352298,1.435390679,176.9186804,165.6375196,,
10/11/2023,178.1999969,179.8500061,177.6000061,179.8000031,178.055954,47551100,AAPL,Technology,0.007903993,1.45463999,176.6107724,165.8758441,,
10/12/2023,180.0700073,182.3399963,179.0399933,180.7100067,178.9571533,56743100,AAPL,Technology,0.005061327,1.467063724,176.3808197,166.1204987,,
10/13/2023,181.4199982,181.9299927,178.1399994,178.8500061,177.1151886,51427100,AAPL,Technology,-0.010292769,1.441670806,176.1419162,166.3649663,,
10/16/2023,176.75,179.0800018,176.5099945,178.7200012,176.9864197,52517000,AAPL,Technology,-0.000727035,1.439895626,176.0820114,166.6284626,,
10/17/2023,176.6499939,178.4199982,174.8000031,177.1499939,175.4316406,57549400,AAPL,Technology,-0.008784736,1.418461786,176.0531177,166.8665833,,
10/18/2023,175.5800018,177.5800018,175.1100006,175.8399963,174.1343536,54764400,AAPL,Technology,-0.007394829,1.400577675,175.9794876,167.0966397,,
10/19/2023,176.0399933,177.8399963,175.1900024,175.4600067,173.7580566,59302900,AAPL,Technology,-0.002160958,1.395390128,175.930177,167.3487767,,
10/20/2023,175.3099976,175.4199982,172.6399994,172.8800049,171.2030945,64244000,AAPL,Technology,-0.014704136,1.360167985,175.8341177,167.5817786,,
10/23/2023,170.9100037,174.0099945,169.9299927,173,171.3218994,55980100,AAPL,Technology,0.000693941,1.361805803,175.7392468,167.8219814,,
10/24/2023,173.0500031,173.6699982,171.4499969,173.4400024,171.7576599,43816600,AAPL,Technology,0.002543519,1.367813101,175.620015,168.0416829,,
10/25/2023,171.8800049,173.0599976,170.6499939,171.1000061,169.4403534,57157000,AAPL,Technology,-0.013491722,1.335867226,175.4942474,168.2471848,,
10/26/2023,170.3699951,171.3800049,165.6699982,166.8899994,165.2711945,70625300,AAPL,Technology,-0.024605466,1.278392123,175.3025256,168.4289811,,
10/27/2023,166.9100037,168.9600067,166.8300018,168.2200012,166.5882874,58499100,AAPL,Technology,0.007969283,1.296549275,175.1880469,168.6037548,,
10/30/2023,169.0200043,171.1699982,168.8699951,170.2899933,168.6381989,51131000,AAPL,Technology,0.012305256,1.324808901,175.1048611,168.7891725,,
10/31/2023,169.3500061,170.8999939,167.8999939,170.7700043,169.1135406,44846000,AAPL,Technology,0.002818708,1.331361858,175.0044449,168.9703108,,
11/1/2023,171,174.2299957,170.1199951,173.9700012,172.2825012,56934900,AAPL,Technology,0.018738657,1.375048447,174.9398776,169.161476,,
11/2/2023,175.5200043,177.7799988,175.4600067,177.5700073,175.84758,77334800,AAPL,Technology,0.020693214,1.424195834,174.8695667,169.3740657,,
11/3/2023,174.2400055,176.8200073,173.3500061,176.6499939,174.9364777,79829200,AAPL,Technology,-0.005181205,1.411635579,174.8749136,169.5818041,,
11/6/2023,176.3800049,179.4299927,176.2100067,179.2299957,177.4914856,63841300,AAPL,Technology,0.014605347,1.446858353,174.8871933,169.7894984,,
11/7/2023,179.1799927,182.4400024,178.9700012,181.8200073,180.0563812,70530000,AAPL,Technology,0.014450809,1.482217437,174.9194772,169.9940424,,
