Date,Price,Open,High,Low,Vol.,Change %
5/6/2022,23.4,23.5,23.5,23.35,14.00M,-0.43%
5/5/2022,23.5,23.95,23.95,23.45,20.31M,-1.88%
5/4/2022,23.95,24,24,23.95,9.67M,-0.21%
4/29/2022,24,24,24,23.95,14.89M,0.21%
4/28/2022,23.95,23.95,24.2,23.95,11.75M,0.00%
4/27/2022,23.95,24.25,24,23.85,12.29M,-1.24%
4/26/2022,24.25,24.6,24.8,24,15.07M,-1.42%
4/25/2022,24.6,24.2,24.6,24.3,13.70M,1.65%
4/22/2022,24.2,24.1,24.2,24,9.38M,0.41%
4/21/2022,24.1,23.7,24.1,23.8,6.90M,1.69%
4/20/2022,23.7,24.5,24.3,23.6,6.68M,-3.27%
4/19/2022,24.5,24.5,24.6,24.45,8.40M,0.00%
4/14/2022,24.5,24.4,24.7,24.5,19.95M,0.41%
4/13/2022,24.4,23.65,24.95,23.7,65.89M,3.17%
4/12/2022,23.65,22.95,23.75,23,39.09M,3.05%
4/11/2022,22.95,23,23.2,22.95,43.25M,-0.22%
4/8/2022,23,22.45,23,22.4,9.06M,2.45%
4/7/2022,22.45,22.1,22.65,22.15,8.98M,1.58%
4/6/2022,22.1,22.35,22.45,22.1,15.49M,-1.12%
4/5/2022,22.35,21.8,22.5,21.8,15.27M,2.52%
4/4/2022,21.8,21.5,22,21.5,9.70M,1.40%
4/1/2022,21.5,22.4,22.45,21.45,14.51M,-4.02%
3/31/2022,22.4,23,23,22.2,5.45M,-2.61%
3/30/2022,23,23.3,23.25,23,5.49M,-1.29%
3/29/2022,23.3,23.25,23.3,23.25,4.96M,0.22%
3/28/2022,23.25,23.15,23.3,23.15,12.67M,0.43%
3/25/2022,23.15,23,23.6,23.15,16.42M,0.65%
3/24/2022,23,23.7,23.7,23,26.09M,-11.54%
3/23/2022,26,26,26.1,25.95,23.95M,0.00%
3/22/2022,26,26.15,26.2,26,28.34M,-0.57%
3/21/2022,26.15,26.2,26.3,26.1,18.41M,-0.19%
3/18/2022,26.2,26.2,26.3,26.15,11.74M,0.00%
3/17/2022,26.2,26.15,26.2,26.15,18.25M,0.19%
3/16/2022,26.15,26.2,26.35,26.15,9.12M,-0.19%
3/15/2022,26.2,26.7,26.75,26.2,8.29M,-1.87%
3/14/2022,26.7,27,26.95,26.45,17.02M,-1.11%
3/11/2022,27,26,27,26.15,5.57M,3.85%
3/10/2022,26,26.15,26.15,25.8,13.58M,-0.57%
3/9/2022,26.15,26.2,26.5,26,54.13M,-0.19%
3/8/2022,26.2,26,26.3,26,29.35M,0.77%
3/7/2022,26,26,26.1,26,15.35M,0.00%
3/4/2022,26,26.35,26.35,26,8.80M,-1.33%
3/3/2022,26.35,26.65,26.6,26.35,3.27M,-1.13%
3/2/2022,26.65,26.95,26.95,26.65,5.45M,-1.11%
3/1/2022,26.95,26.9,26.95,26.9,7.75M,0.19%
2/28/2022,26.9,26.9,26.95,26.8,8.53M,0.00%
2/25/2022,26.9,26.9,27,26.8,10.15M,0.00%
2/24/2022,26.9,26.5,26.95,26.8,7.32M,1.51%
2/23/2022,26.5,26.8,26.75,26.5,10.98M,-1.12%
2/22/2022,26.8,26.45,27,26.8,9.19M,1.32%
2/21/2022,26.45,26.2,26.75,26.3,10.64M,0.95%
2/18/2022,26.2,26.3,26.3,26,18.78M,-0.38%
2/17/2022,26.3,26,26.3,26.15,130.14M,1.15%
2/16/2022,26,26.3,26.3,26,14.22M,-1.14%
2/15/2022,26.3,26.4,26.5,26.25,7.64M,-0.38%
2/14/2022,26.4,26.6,26.65,26.2,23.18M,-0.75%
2/11/2022,26.6,27.25,27.3,26.6,9.24M,-2.39%
2/10/2022,27.25,27.25,27.3,27.25,2.50M,0.00%
2/9/2022,27.25,27.25,27.3,27.25,17.34M,0.00%
2/8/2022,27.25,27.35,27.95,27,32.35M,-0.37%
2/7/2022,27.35,27.5,27.7,27.3,44.93M,-0.55%
2/4/2022,27.5,27.45,27.5,27.2,12.46M,0.18%
2/3/2022,27.45,27.7,27.7,27,21.30M,-0.90%
2/2/2022,27.7,28,28.05,27.3,24.63M,-1.07%
2/1/2022,28,26.9,28,27,21.12M,4.09%
1/31/2022,26.9,25.65,26.9,25.75,11.89M,4.87%
1/28/2022,25.65,25.5,25.75,25.55,20.92M,0.59%
1/27/2022,25.5,25.5,25.75,25.5,16.05M,0.00%
1/26/2022,25.5,25.5,25.5,25.45,36.75M,0.00%
1/25/2022,25.5,25.65,25.7,25.45,24.52M,-0.58%
1/24/2022,25.65,25.8,25.9,25.65,11.06M,-0.58%
1/21/2022,25.8,25.5,25.9,25.5,3.28M,1.18%
1/20/2022,25.5,25.45,25.6,25.3,6.67M,0.20%
1/19/2022,25.45,25.5,25.75,25.3,25.46M,-0.20%
1/18/2022,25.5,25.15,25.8,25.15,18.73M,1.39%
1/17/2022,25.15,25.2,25.4,25.15,24.81M,-0.20%
1/14/2022,25.2,25.45,25.45,25.2,17.59M,-0.98%
1/13/2022,25.45,25.45,25.5,25.4,10.92M,0.00%
1/12/2022,25.45,25.5,25.5,25.45,9.83M,-0.20%
1/11/2022,25.5,25.55,25.6,25.35,14.05M,-0.20%
1/10/2022,25.55,25.8,25.8,25.55,10.35M,-0.97%
1/7/2022,25.8,25.9,25.85,25.75,25.68M,-0.39%
1/6/2022,25.9,25.9,25.9,25.85,3.69M,0.00%
1/5/2022,25.9,26,25.95,25.85,9.31M,-0.38%
1/4/2022,26,26,26,25.9,8.18M,0.00%
12/31/2021,26,26,26.3,26,16.96M,0.00%
12/30/2021,26,26,26.1,25.7,2.92M,0.00%
12/29/2021,26,25.75,26,25.9,2.03M,0.97%
12/24/2021,25.75,25.9,25.8,25.5,3.32M,-0.58%
12/23/2021,25.9,25.9,26,25.9,21.14M,0.00%
12/22/2021,25.9,25.8,25.9,25.85,3.14M,0.39%
12/21/2021,25.8,25.8,25.9,25.8,4.71M,0.00%
12/20/2021,25.8,25.6,25.8,25.5,10.57M,0.78%
12/17/2021,25.6,25.8,25.8,25.6,3.14M,-0.78%
12/16/2021,25.8,25.6,26,25.8,1.89M,0.78%
12/15/2021,25.6,25,25.6,25.4,17.99M,2.40%
12/14/2021,25,26,26,25,14.98M,-3.85%
12/13/2021,26,26.5,26.75,26,12.83M,-1.89%
12/10/2021,26.5,25.5,26.5,26.2,2.82M,3.92%
12/9/2021,25.5,24.3,25.6,24.5,9.31M,4.94%
12/8/2021,24.3,24.15,24.45,24.15,20.67M,0.62%
12/7/2021,24.15,23.95,24.2,23.9,19.42M,0.84%
12/6/2021,23.95,24.1,24.6,23.9,47.79M,-0.62%
12/3/2021,24.1,24.5,24.4,24,23.96M,-1.63%
12/2/2021,24.5,24.6,24.75,24.3,33.48M,-0.41%
12/1/2021,24.6,24.6,24.75,24.6,13.59M,0.00%
11/30/2021,24.6,24.95,25.25,24.6,16.67M,-1.40%
11/29/2021,24.95,25,25.1,24.9,12.39M,-0.20%
11/26/2021,25,25,25.2,24.95,29.53M,0.00%
11/25/2021,25,25.4,25.5,25,22.96M,-1.57%
11/24/2021,25.4,25.4,25.5,25.35,13.57M,0.00%
11/23/2021,25.4,25.45,25.55,25.35,36.19M,-0.20%
11/22/2021,25.45,25.4,25.95,25.45,43.15M,0.20%
11/19/2021,25.4,26.1,26.15,24.95,49.93M,-2.68%
11/18/2021,26.1,26.3,26.4,26.1,10.94M,-0.76%
11/17/2021,26.3,26.9,27,26.3,24.22M,-2.23%
11/16/2021,26.9,27.5,27.35,26.9,20.84M,-2.18%
11/15/2021,27.5,27.45,27.6,27.4,18.46M,0.18%
11/12/2021,27.45,27.4,27.5,27.45,18.44M,0.18%
11/11/2021,27.4,27.65,27.5,27.3,7.25M,-0.90%
11/10/2021,27.65,27.65,27.65,27.6,14.57M,0.00%
11/9/2021,27.65,27.95,28.15,27.65,4.09M,-1.07%
11/8/2021,27.95,28.2,28.05,27.95,11.42M,-0.89%
11/5/2021,28.2,28.2,28.5,28.2,7.77M,0.00%
11/4/2021,28.2,28,28.2,28.05,3.99M,0.71%
11/3/2021,28,28.3,28.05,28,5.28M,-1.06%
11/2/2021,28.3,28.4,28.5,28.3,5.32M,-0.35%
11/1/2021,28.4,28.65,28.6,28.4,9.26M,-0.87%
10/29/2021,28.65,28.55,28.8,28.6,7.13M,0.35%
10/28/2021,28.55,28.55,28.6,28.55,6.74M,0.00%
10/27/2021,28.55,28.5,28.65,28.4,7.79M,0.18%
10/26/2021,28.5,28.6,28.65,28.5,25.04M,-0.35%
10/25/2021,28.6,28.5,28.65,28.6,21.48M,0.35%
10/22/2021,28.5,29,28.55,28.4,18.77M,-1.72%
10/21/2021,29,29.6,29.55,29,3.21M,-2.03%
10/20/2021,29.6,29.6,30,29.6,20.60M,0.00%
10/18/2021,29.6,29.6,29.6,29.5,25.56M,0.00%
10/15/2021,29.6,28.5,29.6,28.6,33.17M,3.86%
10/14/2021,28.5,28.5,28.6,28.35,63.75M,0.00%
10/13/2021,28.5,28.2,28.5,28.25,32.61M,1.06%
10/12/2021,28.2,28,28.45,28.05,9.71M,0.71%
10/11/2021,28,28.6,28.7,28,12.10M,-2.10%
10/8/2021,28.6,28.4,28.7,28.4,17.33M,0.70%
10/7/2021,28.4,28.4,28.5,28,7.13M,0.00%
10/6/2021,28.4,28.5,28.5,28.3,11.77M,-0.35%
10/5/2021,28.5,28.1,28.5,28.05,25.66M,1.42%
10/4/2021,28.1,28.05,28.1,28,18.27M,0.18%
9/30/2021,28.05,27.9,28.2,28,19.42M,0.54%
9/29/2021,27.9,27.7,27.9,27.55,7.47M,0.72%
9/28/2021,27.7,27.3,27.7,27.6,1.96M,0.36%
9/27/2021,27.6,27.75,27.7,27.4,11.15M,-0.54%
9/24/2021,27.75,27.4,27.8,27.6,7.00M,1.28%
9/23/2021,27.4,27.05,27.5,27.1,9.95M,1.29%
9/22/2021,27.05,27.1,27.15,27,10.02M,-0.18%
9/21/2021,27.1,27.3,27.3,27.1,19.04M,-0.73%
9/20/2021,27.3,28,28,27.3,7.33M,-2.50%
9/17/2021,28,27.05,28,27.05,3.45M,3.51%
9/16/2021,27.05,27.2,27.1,27.05,6.75M,-0.55%
9/15/2021,27.2,27,27.2,27.2,1.56M,0.74%
9/14/2021,27,27.1,27,26.95,5.76M,-0.37%
9/13/2021,27.1,27.05,27.1,27.05,2.04M,0.18%
9/10/2021,27.05,27.1,27.1,27,12.16M,-0.18%
9/9/2021,27.1,27.05,27.15,27.1,9.46M,0.18%
9/8/2021,27.05,27.6,27.45,27,19.44M,-1.99%
